item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
CCR-11-7000	11 CCR § 7000	Title and Scope.	delegated	in-force		CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	801	d77707ee2b780fe52df4b43b8f7f7929dbc1c7af21109aa058a645fedaf2307a
CCR-11-7001	11 CCR § 7001	Definitions.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	24220	db1bcd4a407b51ac33c0b35fe89ed7b69bd2863eae4a1319078f0c12aaaaeece
CCR-11-7001@2023	11 CCR § 7001 (2023 text)	Definitions.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	13857	b8cd2826c925fd87397e169f81f864bf55d6decb9a8b6f3d624740aded999c31
CCR-11-7002	11 CCR § 7002	Restrictions on the Collection and Use of Personal Information.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	9026	87e11ce56cb7a55233f84f30f5bdc691dd47e1b4cff67513483d915c3773f022
CCR-11-7002@2023	11 CCR § 7002 (2023 text)	Restrictions on the Collection and Use of Personal Information.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	8817	e1ee75e4ed9fb238b1b1ab899042742806386d837b66391cf02b56ab0c190640
CCR-11-7003	11 CCR § 7003	Requirements for Disclosures and Communications to Consumers.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	1998	fb5ecfd622c7be5d84f1688f9946d82cbf2b96f31f055f54fb9dc4231cde65e5
CCR-11-7003@2023	11 CCR § 7003 (2023 text)	Requirements for Disclosures and Communications to Consumers.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	1925	229dfa6122ef11c2dec4aacc323aec5e8b1529a863bc3cd92c1c3f657ef2b616
CCR-11-7004	11 CCR § 7004	Requirements for Methods for Submitting CCPA Requests and Obtaining Consumer Consent.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	10181	eb6f0fb5db5f89c42a45357b063d1c84b2f62801fe7d0b6f57dbaa1f1facb858
CCR-11-7004@2023	11 CCR § 7004 (2023 text)	Requirements for Methods for Submitting CCPA Requests and Obtaining Consumer Consent.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	7789	b11c7678b51cbdc999c052a97ba1e5f3e700c81e77d0356eecf442daa32ec9bc
CCR-11-7010	11 CCR § 7010	Overview of Required Disclosures.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	1759	6c17008e22f613b355735b08d762246ec7acf690fc7616512e29d96fe5b6c36a
CCR-11-7010@2023	11 CCR § 7010 (2023 text)	Overview of Required Notices Disclosures.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	1307	2c5096407b6f43540fec8c58672a1529a01dff4ce82db187069894d13f61fc00
CCR-11-7011	11 CCR § 7011	Privacy Policy.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	8937	ea7ce292fe0221563f100524d6114d6dca716034f3991e5ed5683bfa2bd4ed4d
CCR-11-7011@2023	11 CCR § 7011 (2023 text)	Privacy Policy.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	12712	3e733f43dff0b32a7882735acb538b67778be7af8be9555eb05d704c3f7dfe08
CCR-11-7012	11 CCR § 7012	Notice at Collection of Personal Information.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	8093	f8be7af8d7fa5401b8fbb1926a683d1dbb6f26245f8c481ec69ee7c237eca3b6
CCR-11-7012@2023	11 CCR § 7012 (2023 text)	Notice at Collection of Personal Information.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	10746	702bf0d86bac9326434463979ce517fa3631f41a0b38fdff2b119a6f5a498707
CCR-11-7013	11 CCR § 7013	Notice of Right to Opt-out of Sale/Sharing and the “Do Not Sell or Share My Personal Information” Link.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	5808	ef2a2392791ea058e1a6d9ef406d144cd2ce7b5772f7d7b25a9fcadbbc4bde89
CCR-11-7013@2023	11 CCR § 7013 (2023 text)	Notice of Right to Opt-Oout of Sale/Sharing ofand the “Do Not Sell or Share My Personal Information” Link.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	7276	f0bddcc89f7afa3625d16670e3e942798436837568c18081cc2fe3008e1dce4b
CCR-11-7014	11 CCR § 7014	Notice of Right to Limit and the “Limit the Use of My Sensitive Personal Information” Link.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	6077	b002e3c9a4bc6ff1db6d20fd3e1dda531eddb35c090dd3be4f5c598b1814529f
CCR-11-7014@2023	11 CCR § 7014 (2023 text)	Notice of Right to Limit and the “Limit the Use of My Sensitive Personal Information” Link.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	3999	b9acdfa44c27e0974ec08acbeffde95773c80f88827edd6bd732c3dedc33086b
CCR-11-7015	11 CCR § 7015	Alternative Opt-out Link.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	2175	20807b063941b889bf48cab904f5758f07ba91ba46fb71dd745dc46e7ca75c5e
