item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	version_id	lang	source_url	retrieved	media_type	bytes	sha256
CIV-1798.100	Cal. Civ. Code § 1798.100	General Duties of Businesses that Collect Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.100	2026-07-31	application/xml;type=caml	4780	2e5ce6dede2cb5a86d09ffd8f1558c5f42205e116dc6997a5365d6f1af6aa274
CIV-1798.105	Cal. Civ. Code § 1798.105	Consumers’ Right to Delete Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.105	2026-07-31	application/xml;type=caml	4473	92da1a1e9d11208fcdbee94f006a6a99eef86be7090562cbc34ebcc6d7b13a1b
CIV-1798.106	Cal. Civ. Code § 1798.106	Consumers’ Right to Correct Inaccurate Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.106	2026-07-31	application/xml;type=caml	893	edcf0ea7dda57f37c05fe358a529a11cdbca2b13ed7f5e202a3bf0fb5ba73acb
CIV-1798.110	Cal. Civ. Code § 1798.110	Consumers’ Right to Know What Personal Information is Being Collected. Right to Access Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.110	2026-07-31	application/xml;type=caml	2148	66589089c3fd13b8e52c64d0b6dbb179d35fb9134f36882db1f07d8e7c008f15
CIV-1798.115	Cal. Civ. Code § 1798.115	Consumers’ Right to Know What Personal Information is Sold or Shared and to Whom	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.115	2026-07-31	application/xml;type=caml	2224	b8912d53af7b830dea88f81f730f35e8b68947c3ba987fc6821251669f0d0d28
CIV-1798.120	Cal. Civ. Code § 1798.120	Consumers’ Right to Opt Out of Sale or Sharing of Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.120	2026-07-31	application/xml;type=caml	2240	518a4d7aaf7b5f7eba69ae99292397bfa859bbf149b7a28febb2cbc758ff7132
CIV-1798.121	Cal. Civ. Code § 1798.121	Consumers’ Right to Limit Use and Disclosure of Sensitive Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.121	2026-07-31	application/xml;type=caml	2716	f69bb4ae5c893546b9007c9f2489d8bee7bb19cbda7e53143bd895294e8adfd1
CIV-1798.125	Cal. Civ. Code § 1798.125	Consumers’ Right of No Retaliation Following Opt Out or Exercise of Other Rights	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.125	2026-07-31	application/xml;type=caml	2665	4601c0ef1014f0b9452eec9da82ba9634da7aed22e617c1e378dd6844ad97740
CIV-1798.130	Cal. Civ. Code § 1798.130	Notice, Disclosure, Correction, and Deletion Requirements	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.130	2026-07-31	application/xml;type=caml	12330	709da541e713e31136cd2ca85dbf072e25be84007a29b86e56ea829e431ddfa6
CIV-1798.135	Cal. Civ. Code § 1798.135	Methods of Limiting Sale, Sharing, and Use of Personal Information and Use of Sensitive Personal Information	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.135	2026-07-31	application/xml;type=caml	8904	3c4dbc39b9743bbd5450d1d3a3dce2a4e6b34fdaeaf7a98577630fa489f8424f
CIV-1798.136	Cal. Civ. Code § 1798.136	Civil Code section 1798.136	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.136	2026-07-31	application/xml;type=caml	1409	d7628acf25d8b6d35a670fff5df539cc683aa828def3e653f48804e1a9233dcb
CIV-1798.140	Cal. Civ. Code § 1798.140	Definitions	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.140	2026-07-31	application/xml;type=caml	32389	7f11e52b4a6d434f0c2a8ecc522cb4443ab04cda9af1ea098b5668646b288a46
CIV-1798.145	Cal. Civ. Code § 1798.145	Exemptions	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.145	2026-07-31	application/xml;type=caml	26922	94b62564bcb645f9b907483ac0d12c8167c20af7807ed596a9193c488bda24c0
CIV-1798.146	Cal. Civ. Code § 1798.146	Civil Code section 1798.146	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.146	2026-07-31	application/xml;type=caml	4904	d493001ed02d3edc822dd44c857be5fbc28020b7d0547904790e11aca46fecec
CIV-1798.148	Cal. Civ. Code § 1798.148	Civil Code section 1798.148	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.148	2026-07-31	application/xml;type=caml	3404	aea16c2a814069063e499df71f510e71cdb93130438b2214a9ae692a7d2a10a8
CIV-1798.150	Cal. Civ. Code § 1798.150	Personal Information Security Breaches	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.150	2026-07-31	application/xml;type=caml	3428	78dc703658458c56d50f15976fe4373c10cfd0c3fcf30cdbb4f845462a65ab7e
CIV-1798.155	Cal. Civ. Code § 1798.155	Administrative Enforcement	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.155	2026-07-31	application/xml;type=caml	1418	0ddcf6390f1cfd3f0265a5a28f0e11791f18f197b0ed15483a2ac2e89a308f5e
CIV-1798.160	Cal. Civ. Code § 1798.160	Consumer Privacy Fund	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.160	2026-07-31	application/xml;type=caml	4905	9f423dd1dca7dd06f50fdef70d22d92ddd2b882966dd244c8dd5b9675ef6a1ad
CIV-1798.175	Cal. Civ. Code § 1798.175	Conflicting Provisions	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.175	2026-07-31	application/xml;type=caml	897	365e97a79ac087082fa7eb118bf192c82464b3fcbb721ab2b0d09c0ded0cdb34
CIV-1798.180	Cal. Civ. Code § 1798.180	Preemption	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.180	2026-07-31	application/xml;type=caml	302	86f5e01a1a0b3da3be793d8c4dc5eb859c05c37651e712f5697a9473f14d27c2
CIV-1798.185	Cal. Civ. Code § 1798.185	Regulations	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.185	2026-07-31	application/xml;type=caml	17994	947b6025ece5edd82dfa01644a28998e52ad2c30bde0f6e1adb4aec1c29b4346
CIV-1798.190	Cal. Civ. Code § 1798.190	Anti-Avoidance	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.190	2026-07-31	application/xml;type=caml	781	0d5a9a23c0617baecf9328ea528525d2e0322e289d3ac1ed0fac99f8dfc83b1d
CIV-1798.192	Cal. Civ. Code § 1798.192	Waiver	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.192	2026-07-31	application/xml;type=caml	622	379b5885d0f6814b184c7e6afefe4440be83ee266298f8ee0396db843a208f14
CIV-1798.194	Cal. Civ. Code § 1798.194	Civil Code section 1798.194	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.194	2026-07-31	application/xml;type=caml	68	0ea42ae4524a467ea333c2d3c07a9cfb5a39db526a5fdb05dbdda860c35a1f79
CIV-1798.196	Cal. Civ. Code § 1798.196	Civil Code section 1798.196	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.196	2026-07-31	application/xml;type=caml	215	cc01d12416cad8fcd4238d0a1ba310f1fb28c9073af833ceb37d501a040c87a9
CIV-1798.198	Cal. Civ. Code § 1798.198	Civil Code section 1798.198	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.198	2026-07-31	application/xml;type=caml	326	50a114047ab485ace4525d9fb58961a6274dacdc9a94c575cd5a1c62f8bb7797
CIV-1798.199	Cal. Civ. Code § 1798.199	Civil Code section 1798.199	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.199	2026-07-31	application/xml;type=caml	124	98880c2f56a1b43179d638ddab0c94f7f9bd6d3bb91394a8e51759f575074aa5
CIV-1798.199.10	Cal. Civ. Code § 1798.199.10	Civil Code section 1798.199.10	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.199.10	2026-07-31	application/xml;type=caml	763	88ef60d974cf6e5c1f7b7bb99bdd8a3b71f31344e378b3c079c1c8a14b792cd2
CIV-1798.199.100	Cal. Civ. Code § 1798.199.100	Civil Code section 1798.199.100	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.199.100	2026-07-31	application/xml;type=caml	396	85cf1b1e912673a2b27c3899ea0b6da728d4db87adc40f706cbba7d27dbf802a
CIV-1798.199.15	Cal. Civ. Code § 1798.199.15	Members of the agency board shall:	legislative	in-force		authoritative		pubinfo@2026-07-26	eng	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=1798.199.15	2026-07-31	application/xml;type=caml	1364	3053e7373ece53cddbcffe2944561b4419155a709b06b4725595a865d495adc1
